station,code,break_start,break_end,cause,missing_input,rows_affected
stanhope,ffmc,2023-04-05T09:00:00+00:00,2023-10-18T16:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",4711
stanhope,ffmc,2023-12-13T18:00:00+00:00,2024-06-25T16:00:00+00:00,input_missing,relative_humidity_pct,4678
stanhope,ffmc,2024-06-26T08:00:00+00:00,2025-05-03T21:00:00+00:00,input_missing,"air_temperature_c, relative_humidity_pct, wind_speed_kmh",7477
stanhope,ffmc,2025-05-15T20:00:00+00:00,,input_missing,"air_temperature_c, relative_humidity_pct",5524
stanhope,dmc,2023-04-01T00:00:00+00:00,2023-04-01T03:00:00+00:00,input_missing,unknown,3
stanhope,dc,2023-04-01T00:00:00+00:00,2023-04-01T03:00:00+00:00,input_missing,unknown,3
greenwich,ffmc,2023-04-01T00:00:00+00:00,2023-04-11T16:00:00+00:00,input_missing,relative_humidity_pct,256
greenwich,ffmc,2023-04-23T04:00:00+00:00,2023-05-04T13:00:00+00:00,input_missing,relative_humidity_pct,273
greenwich,ffmc,2023-05-05T14:00:00+00:00,2023-05-11T16:00:00+00:00,input_missing,relative_humidity_pct,146
greenwich,ffmc,2023-05-12T16:00:00+00:00,2023-12-19T01:00:00+00:00,input_missing,air_temperature_c,5289
greenwich,ffmc,2023-12-19T02:00:00+00:00,2024-03-14T16:00:00+00:00,input_missing,air_temperature_c,2078
greenwich,ffmc,2024-03-28T12:00:00+00:00,2024-03-29T17:00:00+00:00,input_missing,relative_humidity_pct,29
greenwich,ffmc,2024-03-30T06:00:00+00:00,2024-04-01T12:00:00+00:00,input_missing,relative_humidity_pct,54
greenwich,ffmc,2024-04-01T13:00:00+00:00,2024-04-04T20:00:00+00:00,input_missing,relative_humidity_pct,79
greenwich,ffmc,2024-04-05T13:00:00+00:00,2024-04-10T15:00:00+00:00,input_missing,relative_humidity_pct,122
greenwich,ffmc,2024-04-11T12:00:00+00:00,2024-05-28T13:00:00+00:00,input_missing,relative_humidity_pct,1129
greenwich,ffmc,2025-08-17T21:00:00+00:00,,input_missing,relative_humidity_pct,5215
greenwich,dmc,2023-04-01T00:00:00+00:00,2023-04-11T03:00:00+00:00,input_missing,relative_humidity_pct,243
greenwich,dmc,2023-04-27T03:00:00+00:00,2023-05-04T03:00:00+00:00,input_missing,relative_humidity_pct,168
greenwich,dmc,2023-05-06T03:00:00+00:00,2023-05-11T03:00:00+00:00,input_missing,relative_humidity_pct,120
greenwich,dmc,2024-01-02T04:00:00+00:00,2024-03-14T03:00:00+00:00,input_missing,relative_humidity_pct,1727
greenwich,dmc,2024-03-31T03:00:00+00:00,2024-04-01T03:00:00+00:00,input_missing,relative_humidity_pct,24
