air_temperature_c,air_temperature_c_method,air_temperature_c_qf,air_temperature_c_src,bui,bui_qf,dc,dc_qf,dew_point_c,dmc,dmc_qf,ffmc,ffmc_qf,fwi,fwi_qf,isi,isi_qf,rain_mm,rain_mm_qf,relative_humidity_pct,relative_humidity_pct_method,relative_humidity_pct_qf,relative_humidity_pct_src,solar_radiation_w_m2,station,timestamp_utc,wind_direction_deg,wind_speed_kmh,wind_speed_kmh_method,wind_speed_kmh_qf,wind_speed_kmh_src
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-01 00:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-01 01:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-01 02:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-01 03:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-01 04:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-01 05:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-01 06:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-01 07:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-01 08:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-01 09:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-01 10:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-01 11:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-01 12:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-01 13:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-01 14:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-01 15:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-01 16:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-01 17:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-01 18:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-01 19:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-01 20:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-01 21:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-01 22:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-01 23:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-02 00:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-02 01:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-02 02:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-02 03:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-02 04:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-02 05:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-02 06:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-02 07:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-02 08:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-02 09:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-02 10:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-02 11:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-02 12:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-02 13:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-02 14:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-02 15:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-02 16:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-02 17:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-02 18:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-02 19:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-02 20:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-02 21:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-02 22:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-02 23:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-03 00:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-03 01:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-03 02:00:00+00:00,,,,9.0,
,,9.0,,,9,,9,,,9,,9,,9,,9,0.0,0,,,9.0,,,stanley_bridge,2023-04-03 03:00:00+00:00,,,,9.0,
